Label,Year,Indigenous protected land area (ha),National parks (ha),Nature reserves (ha),All other protected land areas (ha),Total protected land area (ha),Indigenous protected land area (%),National parks (%),Nature reserves (%),All other protected land areas (%),Total protected land area (%)
Launceston,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Launceston,2018,0,0,108,"8,229","8,337",0.0,0.0,0.1,5.8,5.9
Launceston,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Launceston,2020,0,0,108,"8,065","8,173",0.0,0.0,0.1,5.7,5.8
Launceston,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Launceston,2022,0,0,108,"8,084","8,192",0.0,0.0,0.1,5.7,5.8
Launceston,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Meander Valley,2016,0,"84,250",43,"41,916","126,209",0.0,25.3,0.0,12.6,37.9
Meander Valley,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Meander Valley,2018,0,"84,309",43,"41,850","126,203",0.0,25.3,0.0,12.6,37.9
Meander Valley,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Meander Valley,2020,0,"84,309",43,"41,850","126,203",0.0,25.3,0.0,12.6,37.9
Meander Valley,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Meander Valley,2022,0,"84,309",43,"41,848","126,201",0.0,25.3,0.0,12.6,37.9
Meander Valley,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Northern Midlands,2016,0,"18,917","1,281","48,502","68,700",0.0,3.7,0.2,9.4,13.4
Northern Midlands,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Northern Midlands,2018,0,"18,917","1,281","48,529","68,727",0.0,3.7,0.2,9.5,13.4
Northern Midlands,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Northern Midlands,2020,0,"18,917","1,281","48,744","68,942",0.0,3.7,0.2,9.5,13.4
Northern Midlands,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Northern Midlands,2022,0,"19,013","1,281","48,982","69,277",0.0,3.7,0.2,9.5,13.5
Northern Midlands,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Sorell,2016,0,0,"1,191","2,422","3,613",0.0,0.0,2.0,4.1,6.2
Sorell,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Sorell,2018,0,0,"1,189","2,449","3,638",0.0,0.0,2.0,4.2,6.2
Sorell,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Sorell,2020,0,0,"1,189","2,449","3,638",0.0,0.0,2.0,4.2,6.2
Sorell,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Sorell,2022,0,0,"1,189","2,458","3,647",0.0,0.0,2.0,4.2,6.2
Sorell,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Southern Midlands,2016,0,0,"1,259","17,286","18,545",0.0,0.0,0.5,6.6,7.1
Southern Midlands,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Southern Midlands,2018,0,0,"1,258","17,618","18,876",0.0,0.0,0.5,6.7,7.2
Southern Midlands,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Southern Midlands,2020,0,0,"1,258","17,618","18,876",0.0,0.0,0.5,6.7,7.2
